Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3056,QUEBECAIRE,QUEBECAIRE,Airlines,Yes,"'3056':{'combined description':'QUEBECAIRE', 'USDA description':'QUEBECAIRE','IRS Description':'Airlines', 'reportable':'Yes'},"
3057,EAST/WEST AIRLINES (AUSTRALIA),EASTWEST AIRLINES (AUSTRALIA),Airlines,Yes,"'3057':{'combined description':'EAST/WEST AIRLINES (AUSTRALIA)', 'USDA description':'EASTWEST AIRLINES (AUSTRALIA)','IRS Description':'Airlines', 'reportable':'Yes'},"
3058,DELTA,DELTA,Airlines,Yes,"'3058':{'combined description':'DELTA', 'USDA description':'DELTA','IRS Description':'Airlines', 'reportable':'Yes'},"
3059,DBA AIRLINES - DBA AIR,,Airlines,Yes,"'3059':{'combined description':'DBA AIRLINES - DBA AIR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3060,NORTHWEST AIRLINES,NORTHWEST,Airlines,Yes,"'3060':{'combined description':'NORTHWEST AIRLINES', 'USDA description':'NORTHWEST','IRS Description':'Airlines', 'reportable':'Yes'},"
3061,CONTINENTAL,CONTINENTAL,Airlines,Yes,"'3061':{'combined description':'CONTINENTAL', 'USDA description':'CONTINENTAL','IRS Description':'Airlines', 'reportable':'Yes'},"
3062,HAPAG-LLOYD EXPRESS - HLX,WESTERN,Airlines,Yes,"'3062':{'combined description':'HAPAG-LLOYD EXPRESS - HLX', 'USDA description':'WESTERN','IRS Description':'Airlines', 'reportable':'Yes'},"
3063,US AIRWAYS,US AIR,Airlines,Yes,"'3063':{'combined description':'US AIRWAYS', 'USDA description':'US AIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3064,ADRIA AIRWAYS,,Airlines,Yes,"'3064':{'combined description':'ADRIA AIRWAYS', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3065,AIRINTER,AIRINTER,Airlines,Yes,"'3065':{'combined description':'AIRINTER', 'USDA description':'AIRINTER','IRS Description':'Airlines', 'reportable':'Yes'},"
3066,SOUTHWEST AIRLINES,SOUTHWEST,Airlines,Yes,"'3066':{'combined description':'SOUTHWEST AIRLINES', 'USDA description':'SOUTHWEST','IRS Description':'Airlines', 'reportable':'Yes'},"
3067,VANGUARD AIRLINES,,Airlines,Yes,"'3067':{'combined description':'VANGUARD AIRLINES', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3068,AIR ASTANA-AIRSTANA,,Airlines,Yes,"'3068':{'combined description':'AIR ASTANA-AIRSTANA', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3069,AIR EUROPE,,Airlines,Yes,"'3069':{'combined description':'AIR EUROPE', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3070,PACIFIC SOUTHWEST AIRLINE,,Airlines,Yes,"'3070':{'combined description':'PACIFIC SOUTHWEST AIRLINE', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3071,AIR BRITISH COLUMBIA,AIR BRITISH COLUBIA,Airlines,Yes,"'3071':{'combined description':'AIR BRITISH COLUMBIA', 'USDA description':'AIR BRITISH COLUBIA','IRS Description':'Airlines', 'reportable':'Yes'},"
3072,airlines,,Airlines,Yes,"'3072':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3073,AIR CAL,,Airlines,Yes,"'3073':{'combined description':'AIR CAL', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3074,airlines,,Airlines,Yes,"'3074':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3075,SINGAPORE AIRLINES,SINGAPORE AIRLINES,Airlines,Yes,"'3075':{'combined description':'SINGAPORE AIRLINES', 'USDA description':'SINGAPORE AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3076,AEROMEXICO,AEROMEXICO,Airlines,Yes,"'3076':{'combined description':'AEROMEXICO', 'USDA description':'AEROMEXICO','IRS Description':'Airlines', 'reportable':'Yes'},"
3077,THAI AIRWAYS,THAI AIRWAYS,Airlines,Yes,"'3077':{'combined description':'THAI AIRWAYS', 'USDA description':'THAI AIRWAYS','IRS Description':'Airlines', 'reportable':'Yes'},"
3078,CHINA AIRLINES,CHINA AIRLINES,Airlines,Yes,"'3078':{'combined description':'CHINA AIRLINES', 'USDA description':'CHINA AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
3079,JETSTAR,,Airlines,Yes,"'3079':{'combined description':'JETSTAR', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3080,airlines,,Airlines,Yes,"'3080':{'combined description':'airlines', 'USDA description':'','IRS Description':'Airlines', 'reportable':'Yes'},"
3081,NORDAIR,NORDAIR,Airlines,Yes,"'3081':{'combined description':'NORDAIR', 'USDA description':'NORDAIR','IRS Description':'Airlines', 'reportable':'Yes'},"
3082,KOREAN AIRLINES,KOREAN AIRLINES,Airlines,Yes,"'3082':{'combined description':'KOREAN AIRLINES', 'USDA description':'KOREAN AIRLINES','IRS Description':'Airlines', 'reportable':'Yes'},"
