Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
3678,CUMULUS HOTELS,CUMULUS HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3678':{'combined description':'CUMULUS HOTELS', 'USDA description':'CUMULUS HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3679,DANUBIUS HOTEL,DANUBIUS HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3679':{'combined description':'DANUBIUS HOTEL', 'USDA description':'DANUBIUS HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3680,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3680':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3681,ADAMS MARK HOTELS,ADAMS MARK HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3681':{'combined description':'ADAMS MARK HOTELS', 'USDA description':'ADAMS MARK HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3682,ALLSTAR INNS,ALLSTAR INNS,Hotels/Motels/Inns/Resorts,Yes,"'3682':{'combined description':'ALLSTAR INNS', 'USDA description':'ALLSTAR INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3683,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3683':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3684,BUDGET HOST INNS,BUDGET HOST INNS,Hotels/Motels/Inns/Resorts,Yes,"'3684':{'combined description':'BUDGET HOST INNS', 'USDA description':'BUDGET HOST INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3685,BUDGETEL HOTELS,BUDGETEL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3685':{'combined description':'BUDGETEL HOTELS', 'USDA description':'BUDGETEL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3686,SUISSE CHALETS,SUISSE CHALETS,Hotels/Motels/Inns/Resorts,Yes,"'3686':{'combined description':'SUISSE CHALETS', 'USDA description':'SUISSE CHALETS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3687,CLARION HOTELS,CLARION HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3687':{'combined description':'CLARION HOTELS', 'USDA description':'CLARION HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3688,COMPRI HOTELS,COMPRI HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3688':{'combined description':'COMPRI HOTELS', 'USDA description':'COMPRI HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3689,CONSORT HOTELS,CONSORT HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3689':{'combined description':'CONSORT HOTELS', 'USDA description':'CONSORT HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3690,COURTYARD BY MARRIOTT,COURTYARD BY MARRIOTT,Hotels/Motels/Inns/Resorts,Yes,"'3690':{'combined description':'COURTYARD BY MARRIOTT', 'USDA description':'COURTYARD BY MARRIOTT','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3691,DILLION INNS,DILLION INNS,Hotels/Motels/Inns/Resorts,Yes,"'3691':{'combined description':'DILLION INNS', 'USDA description':'DILLION INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3692,DOUBLETREE HOTELS,DOUBLETREE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3692':{'combined description':'DOUBLETREE HOTELS', 'USDA description':'DOUBLETREE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3693,DRURY INNS,DRURY INNS,Hotels/Motels/Inns/Resorts,Yes,"'3693':{'combined description':'DRURY INNS', 'USDA description':'DRURY INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3694,ECONOMY INNS OF AMERICA,ECONOMY INNS OF AMERICA,Hotels/Motels/Inns/Resorts,Yes,"'3694':{'combined description':'ECONOMY INNS OF AMERICA', 'USDA description':'ECONOMY INNS OF AMERICA','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3695,EMBASSY SUITES,EMBASSY SUITES,Hotels/Motels/Inns/Resorts,Yes,"'3695':{'combined description':'EMBASSY SUITES', 'USDA description':'EMBASSY SUITES','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3696,EXEL INNS,EXEL INNS,Hotels/Motels/Inns/Resorts,Yes,"'3696':{'combined description':'EXEL INNS', 'USDA description':'EXEL INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3697,FARFIELD HOTELS,FARFIELD HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3697':{'combined description':'FARFIELD HOTELS', 'USDA description':'FARFIELD HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3698,HARLEY HOTELS,HARLEY HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3698':{'combined description':'HARLEY HOTELS', 'USDA description':'HARLEY HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3699,MIDWAY MOTOR LODGE,MIDWAY MOTOR LODGE,Hotels/Motels/Inns/Resorts,Yes,"'3699':{'combined description':'MIDWAY MOTOR LODGE', 'USDA description':'MIDWAY MOTOR LODGE','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3700,MOTEL 6,MOTEL 6,Hotels/Motels/Inns/Resorts,Yes,"'3700':{'combined description':'MOTEL 6', 'USDA description':'MOTEL 6','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),GUEST QUARTERS (Formally PICKETT SUITE HOTELS),Hotels/Motels/Inns/Resorts,Yes,"'3701':{'combined description':'GUEST QUARTERS (Formally PICKETT SUITE HOTELS)', 'USDA description':'GUEST QUARTERS (Formally PICKETT SUITE HOTELS)','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3702,THE REGISTRY HOTELS,THE REGISTRY HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3702':{'combined description':'THE REGISTRY HOTELS', 'USDA description':'THE REGISTRY HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3703,RESIDENCE INNS,RESIDENCE INNS,Hotels/Motels/Inns/Resorts,Yes,"'3703':{'combined description':'RESIDENCE INNS', 'USDA description':'RESIDENCE INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3704,ROYCE HOTELS,ROYCE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3704':{'combined description':'ROYCE HOTELS', 'USDA description':'ROYCE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3705,SANDMAN INNS,SANDMAN INNS,Hotels/Motels/Inns/Resorts,Yes,"'3705':{'combined description':'SANDMAN INNS', 'USDA description':'SANDMAN INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3706,SHILO INNS,SHILO INNS,Hotels/Motels/Inns/Resorts,Yes,"'3706':{'combined description':'SHILO INNS', 'USDA description':'SHILO INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3707,SHONEY\'S INNS,SHONEY\'S INNS,Hotels/Motels/Inns/Resorts,Yes,"'3707':{'combined description':'SHONEY\'S INNS', 'USDA description':'SHONEY\'S INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3708,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3708':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3709,SUPER8 MOTELS,SUPER8 MOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3709':{'combined description':'SUPER8 MOTELS', 'USDA description':'SUPER8 MOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3710,THE RITZ CARLTON HOTELS,THE RITZ CARLTON HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3710':{'combined description':'THE RITZ CARLTON HOTELS', 'USDA description':'THE RITZ CARLTON HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3711,FLAG INNS (AUSRALIA),FLAG INNS (AUSRALIA),Hotels/Motels/Inns/Resorts,Yes,"'3711':{'combined description':'FLAG INNS (AUSRALIA)', 'USDA description':'FLAG INNS (AUSRALIA)','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3712,GOLDEN CHAIN HOTEL,GOLDEN CHAIN HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3712':{'combined description':'GOLDEN CHAIN HOTEL', 'USDA description':'GOLDEN CHAIN HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3713,QUALITY PACIFIC HOTEL,QUALITY PACIFIC HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3713':{'combined description':'QUALITY PACIFIC HOTEL', 'USDA description':'QUALITY PACIFIC HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3714,FOUR SEASONS HOTEL (AUSTRALIA),FOUR SEASONS HOTEL (AUSTRALIA),Hotels/Motels/Inns/Resorts,Yes,"'3714':{'combined description':'FOUR SEASONS HOTEL (AUSTRALIA)', 'USDA description':'FOUR SEASONS HOTEL (AUSTRALIA)','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3715,FARIFIELD INN,FARIFIELD INN,Hotels/Motels/Inns/Resorts,Yes,"'3715':{'combined description':'FARIFIELD INN', 'USDA description':'FARIFIELD INN','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3716,CARLTON HOTELS,CARLTON HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3716':{'combined description':'CARLTON HOTELS', 'USDA description':'CARLTON HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3717,CITY LODGE HOTELS,CITY LODGE HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3717':{'combined description':'CITY LODGE HOTELS', 'USDA description':'CITY LODGE HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3718,KAROS HOTELS,KAROS HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3718':{'combined description':'KAROS HOTELS', 'USDA description':'KAROS HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3719,PROTEA HOTELS,PROTEA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3719':{'combined description':'PROTEA HOTELS', 'USDA description':'PROTEA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3720,SOUTHERN SUN HOTELS,SOUTHERN SUN HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3720':{'combined description':'SOUTHERN SUN HOTELS', 'USDA description':'SOUTHERN SUN HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3721,HILTON CONRAD,HILTON CONRAD,Hotels/Motels/Inns/Resorts,Yes,"'3721':{'combined description':'HILTON CONRAD', 'USDA description':'HILTON CONRAD','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3722,WYNDHAM HOTEL AND RESORTS,WYNDHAM HOTEL AND RESORTS,Hotels/Motels/Inns/Resorts,Yes,"'3722':{'combined description':'WYNDHAM HOTEL AND RESORTS', 'USDA description':'WYNDHAM HOTEL AND RESORTS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3723,RICA HOTELS,RICA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3723':{'combined description':'RICA HOTELS', 'USDA description':'RICA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3724,INER NOR HOTELS,INER NOR HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3724':{'combined description':'INER NOR HOTELS', 'USDA description':'INER NOR HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3725,SEAINES PLANATION,SEAINES PLANATION,Hotels/Motels/Inns/Resorts,Yes,"'3725':{'combined description':'SEAINES PLANATION', 'USDA description':'SEAINES PLANATION','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3726,RIO SUITES,RIO SUITES,Hotels/Motels/Inns/Resorts,Yes,"'3726':{'combined description':'RIO SUITES', 'USDA description':'RIO SUITES','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3727,BROADMOOR HOTEL,BROADMOOR HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3727':{'combined description':'BROADMOOR HOTEL', 'USDA description':'BROADMOOR HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3728,BALLY\'S HOTEL AND CASINO,BALLY\'S HOTEL AND CASINO,Hotels/Motels/Inns/Resorts,Yes,"'3728':{'combined description':'BALLY\'S HOTEL AND CASINO', 'USDA description':'BALLY\'S HOTEL AND CASINO','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3729,JOHN ASCUAGA\'S NUGGET,JOHN ASCUAGA\'S NUGGET,Hotels/Motels/Inns/Resorts,Yes,"'3729':{'combined description':'JOHN ASCUAGA\'S NUGGET', 'USDA description':'JOHN ASCUAGA\'S NUGGET','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3730,MGM GRAND HOTEL,MGM GRAND HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3730':{'combined description':'MGM GRAND HOTEL', 'USDA description':'MGM GRAND HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3731,HARRAH\'S HOTELS AND CASINOS,HARRAH\'S HOTELS AND CASINOS,Hotels/Motels/Inns/Resorts,Yes,"'3731':{'combined description':'HARRAH\'S HOTELS AND CASINOS', 'USDA description':'HARRAH\'S HOTELS AND CASINOS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3732,OPRYLAND HOTEL,OPRYLAND HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3732':{'combined description':'OPRYLAND HOTEL', 'USDA description':'OPRYLAND HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3733,BOCA RATON RESORT,BOCA RATON RESORT,Hotels/Motels/Inns/Resorts,Yes,"'3733':{'combined description':'BOCA RATON RESORT', 'USDA description':'BOCA RATON RESORT','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3734,HARVEY/BRISTOL HOTELS,HARVEY/BRISTOL HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3734':{'combined description':'HARVEY/BRISTOL HOTELS', 'USDA description':'HARVEY/BRISTOL HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3735,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3735':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3736,COLORADO BELLE/EDGEWATER RESORT,COLORADO BELLE/EDGEWATER RESORT,Hotels/Motels/Inns/Resorts,Yes,"'3736':{'combined description':'COLORADO BELLE/EDGEWATER RESORT', 'USDA description':'COLORADO BELLE/EDGEWATER RESORT','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3737,RIVIERA HOTEL AND CASINO,RIVIERA HOTEL AND CASINO,Hotels/Motels/Inns/Resorts,Yes,"'3737':{'combined description':'RIVIERA HOTEL AND CASINO', 'USDA description':'RIVIERA HOTEL AND CASINO','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3738,TROPICANA RESORT AND CASINO,TROPICANA RESORT AND CASINO,Hotels/Motels/Inns/Resorts,Yes,"'3738':{'combined description':'TROPICANA RESORT AND CASINO', 'USDA description':'TROPICANA RESORT AND CASINO','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3739,WOODSIDE HOTELS AND RESORTS,WOODSIDE HOTELS AND RESORTS,Hotels/Motels/Inns/Resorts,Yes,"'3739':{'combined description':'WOODSIDE HOTELS AND RESORTS', 'USDA description':'WOODSIDE HOTELS AND RESORTS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3740,TOWNPLACE SUITES,TOWNPLACE SUITES,Hotels/Motels/Inns/Resorts,Yes,"'3740':{'combined description':'TOWNPLACE SUITES', 'USDA description':'TOWNPLACE SUITES','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3741,MILLENIUM BROADWAY HOTEL,MILLENIUM BROADWAY HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3741':{'combined description':'MILLENIUM BROADWAY HOTEL', 'USDA description':'MILLENIUM BROADWAY HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3742,CLUB MED,CLUB MED,Hotels/Motels/Inns/Resorts,Yes,"'3742':{'combined description':'CLUB MED', 'USDA description':'CLUB MED','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3743,BILTMORE HOTEL AND SUITES,BILTMORE HOTEL AND SUITES,Hotels/Motels/Inns/Resorts,Yes,"'3743':{'combined description':'BILTMORE HOTEL AND SUITES', 'USDA description':'BILTMORE HOTEL AND SUITES','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3744,CAREFREE RESORTS,CAREFREE RESORTS,Hotels/Motels/Inns/Resorts,Yes,"'3744':{'combined description':'CAREFREE RESORTS', 'USDA description':'CAREFREE RESORTS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3745,ST. REGIS HOTEL,ST. REGIS HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3745':{'combined description':'ST. REGIS HOTEL', 'USDA description':'ST. REGIS HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3746,THE ELIOT HOTEL,THE ELIOT HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3746':{'combined description':'THE ELIOT HOTEL', 'USDA description':'THE ELIOT HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3747,CLUBCORP/CLUB RESORTS,CLUBCORP/CLUB RESORTS,Hotels/Motels/Inns/Resorts,Yes,"'3747':{'combined description':'CLUBCORP/CLUB RESORTS', 'USDA description':'CLUBCORP/CLUB RESORTS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3748,WELESLEY INNS,WELESLEY INNS,Hotels/Motels/Inns/Resorts,Yes,"'3748':{'combined description':'WELESLEY INNS', 'USDA description':'WELESLEY INNS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3749,THE BEVERLY HILLS HOTEL,THE BEVERLY HILLS HOTEL,Hotels/Motels/Inns/Resorts,Yes,"'3749':{'combined description':'THE BEVERLY HILLS HOTEL', 'USDA description':'THE BEVERLY HILLS HOTEL','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3750,CROWNE PLAZA HOTELS,CROWNE PLAZA HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3750':{'combined description':'CROWNE PLAZA HOTELS', 'USDA description':'CROWNE PLAZA HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3751,HOMEWOOD SUITES,HOMEWOOD SUITES,Hotels/Motels/Inns/Resorts,Yes,"'3751':{'combined description':'HOMEWOOD SUITES', 'USDA description':'HOMEWOOD SUITES','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3752,PEABODY HOTELS,PEABODY HOTELS,Hotels/Motels/Inns/Resorts,Yes,"'3752':{'combined description':'PEABODY HOTELS', 'USDA description':'PEABODY HOTELS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3753,GREENBRIAH RESORTS,GREENBRIAH RESORTS,Hotels/Motels/Inns/Resorts,Yes,"'3753':{'combined description':'GREENBRIAH RESORTS', 'USDA description':'GREENBRIAH RESORTS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3754,AMELIA ISLAND PLANATION,AMELIA ISLAND PLANATION,Hotels/Motels/Inns/Resorts,Yes,"'3754':{'combined description':'AMELIA ISLAND PLANATION', 'USDA description':'AMELIA ISLAND PLANATION','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3755,THE HOMESTEAD,THE HOMESTEAD,Hotels/Motels/Inns/Resorts,Yes,"'3755':{'combined description':'THE HOMESTEAD', 'USDA description':'THE HOMESTEAD','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3756,SOUTH SEAS RESORTS,SOUTH SEAS RESORTS,Hotels/Motels/Inns/Resorts,Yes,"'3756':{'combined description':'SOUTH SEAS RESORTS', 'USDA description':'SOUTH SEAS RESORTS','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3757,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3757':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3758,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3758':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3759,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3759':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3760,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3760':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3761,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3761':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3762,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3762':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3763,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3763':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3764,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3764':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3765,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3765':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3766,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3766':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3767,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3767':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3768,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3768':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3769,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3769':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3770,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3770':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3771,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3771':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3772,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3772':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3773,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3773':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3774,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3774':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3775,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3775':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3776,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3776':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3777,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3777':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3778,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3778':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3779,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3779':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
3780,Hotels/Motels/Inns/Resorts,,Hotels/Motels/Inns/Resorts,Yes,"'3780':{'combined description':'Hotels/Motels/Inns/Resorts', 'USDA description':'','IRS Description':'Hotels/Motels/Inns/Resorts', 'reportable':'Yes'},"
